ID	PARENT_ID	IDX	KIND	NAME	ATTRS
1	-1	-1	FUNC_PROTO	(anon)	ret_type_id=2 vlen=1
2	-1	-1	INT	int	size=4 bits_offset=0 nr_bits=32 encoding=SIGNED
3	-1	-1	FUNC	odd	type_id=1 linkage=global
4	-1	-1	FUNC_PROTO	(anon)	ret_type_id=2 vlen=1
5	-1	-1	FUNC	even	type_id=4 linkage=global
6	-1	-1	FUNC_PROTO	(anon)	ret_type_id=2 vlen=1
7	-1	-1	PTR	(anon)	type_id=0
8	-1	-1	FUNC	xdp_demo	type_id=6 linkage=global
9	-1	-1	INT	char	size=1 bits_offset=0 nr_bits=8 encoding=SIGNED
10	-1	-1	ARRAY	(anon)	type_id=9 index_type_id=11 nr_elems=4
11	-1	-1	INT	__ARRAY_SIZE_TYPE__	size=4 bits_offset=0 nr_bits=32 encoding=(none)
12	-1	-1	VAR	_license	type_id=10, linkage=global
13	-1	-1	DATASEC	license	size=0 vlen=1
-1	13	0	DATASEC_ENTRY	_license	type_id=12 offset=0 size=4
