VALUE	SIZE	NDX	NAME
0000000000000000	0	UND	
0000000000000000	0	ABS	abs.c
0000000000000000	0	2	.text
0000000000000000	0	3	xdp
0000000000000000	104	2	my_abs
0000000000000068	112	2	my_min
0000000000000000	0	6	.debug_abbrev
0000000000000000	0	9	.debug_rnglists
0000000000000000	0	10	.debug_str_offsets
0000000000000000	0	12	.debug_str
0000000000000000	0	13	.debug_addr
0000000000000000	0	19	.debug_frame
0000000000000000	0	21	.debug_line
0000000000000000	0	23	.debug_line_str
0000000000000000	248	3	xdp_demo
0000000000000000	4	5	_license
